text,true_label,pred_prob,pred_label,pred_cat
"#COVID-19 | More than 100,300 people have been infected globally by #coronavirus, according to a Reuters tally based on statements from health ministries and government officials. Click the link below for live updates. http://bit.ly/38vzfLh ",1,93.50728,1.0,真新闻
"Most Asian shares fell on Tuesday a day after Wall Street's historic market rout, with fleeting initial gains evaporating as the #coronavirus remained a major risk to economic growth.
#COVID2019 #COVID #CoronavirusOutbreak #stockmarkets https://www.indiatoday.in/business/story/coronavirus-scare-asian-stocks-fall-after-historic-wall-street-rout-1656254-2020-03-17 ",1,0.0712684,1.0,真新闻
Sobering COVID-19 study prompted Britain to toughen its approach  https://uk.reuters.com/article/us-health-coronavirus-britain-research-idUKKBN2141EP?taid=5e70a7eef629ab00016ac0dc&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/ubVdUvUVok,1,96.31941,1.0,真新闻
Sobering COVID-19 study prompted Britain to toughen its approach  https://uk.reuters.com/article/uk-health-coronavirus-britain-research-idUKKBN2141EI?taid=5e70ee4472e8fa00012c02ed&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/SSyIL5AVCf,1,98.66861,1.0,真新闻
Sobering COVID-19 study prompted Britain to toughen its approach  https://uk.reuters.com/article/uk-health-coronavirus-britain-research-idUKKBN2141EI?taid=5e70af23f629ab00016ac0fe&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/1y1aDWzp2U,1,98.66861,1.0,真新闻
Beware second waves of COVID-19 if lockdowns eased early: study  https://uk.reuters.com/article/us-health-coronavirus-wuhan-secondwave-idUKKBN21D1M9?taid=5e7d0531ef5fb40001469dea&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/SBlnCtzl22,1,99.18744,1.0,真新闻
"Canada to stop people with COVID-19 symptoms boarding domestic flights, trains  https://uk.reuters.com/article/us-health-coronavirus-canada-idUKKBN21F0RF?taid=5e802598ef5fb4000146ab1d&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/GG0IMhebMt",1,89.55693,1.0,真新闻
"Over Rs 600 crore deposited in bank accounts of 27.15 lakh UP workers
 https://www.ndtv.com/india-news/over-rs-600-crore-deposited-in-bank-accounts-of-27-15-lakh-uttar-pradesh-workers-2203276 
#CoronavirusLockdown #Covid_19 pic.twitter.com/hnor7eAoHx",1,1.0395257,1.0,真新闻
Disney's Netflix rival doubles subscriptions in Covid-19 lockdown  https://www.theguardian.com/media/2020/apr/09/disney-netflix-rival-doubles-subscriptions-in-virus-lockdown?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1586497555 ,1,0.12773326,1.0,真新闻
"UK faces 'extremely large' hit from COVID-19, BoE's Tenreyro warns  https://uk.reuters.com/article/us-health-coronavirus-boe-tenreyro-idUKKCN21Y25W?taid=5e98a7c45a107f0001b4b54c&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/Db1ieHb7aR",1,99.29341,1.0,真新闻
