text,true_label,pred_prob,pred_label,pred_cat
 Tencent revealed the real number of deaths.		,0,4.167809e-06,0.0,假新闻
 This video shows workmen uncovering a bat-infested roof in the US state of Florida in 2011.		,0,3.9442875e-06,0.0,假新闻
 A video shows people screaming in Wuhan because they feared the coronavirus.		,0,4.403947e-06,0.0,假新闻
 Garlic water can cure novel coronavirus.		,0,4.0068785e-06,0.0,假新闻
 Coronavirus is found in broiler chicken.		,0,4.461302e-06,0.0,假新闻
 There is a case of coronavirus in Caserta.		,0,3.815163e-06,0.0,假新闻
 There is a case of coronavirus in Andorra.		,0,3.815163e-06,0.0,假新闻
 Cats and dogs can be infected and can contaminate humans with COVID-19.		,0,4.4890767e-06,0.0,假新闻
 Cats and dogs can be infected and can contaminate humans with COVID-19.		,0,4.4890767e-06,0.0,假新闻
" Videos state that 25,000 Chinese are being killed.		",0,4.454283e-06,0.0,假新闻
 Hand sanitizer form 2010 is labeled against COVID-19.		,0,4.2183938e-06,0.0,假新闻
" This is a person with coronavirus in Calella, Barcelona (2/13/20).		",0,3.834181e-06,0.0,假新闻
" This photo is a ""chinese tapa""?from a bat.		",0,4.318203e-06,0.0,假新闻
 High-rise buildings have become human incinerators to combat the spread of the coronavirus.		,0,4.3940126e-06,0.0,假新闻
 There is a COVID-19 case in east Indian state.		,0,3.918089e-06,0.0,假新闻
 Black skin is resistant to coronavirus.		,0,4.341235e-06,0.0,假新闻
 This bottle of disinfectant gel proves that the coronavirus existed before 2019.		,0,4.1181174e-06,0.0,假新闻
 Data shows a massive release of sulfur dioxide gas near Wuhan.		,0,4.332199e-06,0.0,假新闻
 This video shows corpses on the streets of Wuhan.		,0,3.9861447e-06,0.0,假新闻
 Coronavirus is a biological warfare weapon.		,0,4.187159e-06,0.0,假新闻
" The 2008 book ""End of Days"" predicted the current coronavirus outbreak.		",0,4.4569983e-06,0.0,假新闻
" A video says ""the coronavirus was invented and patented in the USA and then planted in China.""		",0,4.287685e-06,0.0,假新闻
 Pigs are buried alive due to coronavirus.		,0,4.203976e-06,0.0,假新闻
" Post says ""people of color may be immune to the coronavirus because of melanin.""		",0,4.1270623e-06,0.0,假新闻
" Years ago, there was a hand sanitizer active against Sars-Cov-2.		",0,4.072994e-06,0.0,假新闻
" There are two coronavirus cases in Bovalino (Reggio Calabria, Italy).		",0,4.2817924e-06,0.0,假新闻
" ""The coronavirus is the common cold, folks.""		",0,4.1419353e-06,0.0,假新闻
" The mortality rate for the flu is ""right around"" that of the new coronavirus",0,4.4536587e-06,0.0,假新闻
 President Trump claims the virus is under control and testing is available.		,0,4.4497356e-06,0.0,假新闻
 Is it useful to close borders to stop the outbreak?		,0,3.8425633e-06,0.0,假新闻
 CDC issued facial hair recommendation for novel coronavirus prevention.		,0,4.4466133e-06,0.0,假新闻
" A post says ""hair weave and lace fronts manufactured in China may contain the coronavirus.""		",0,4.409705e-06,0.0,假新闻
 The CDC recommends men shave their beards to protect against coronavirus.		,0,4.404073e-06,0.0,假新闻
 French far right leader Marine Le Pen says the EU didn't act against the outbreak		,0,4.329844e-06,0.0,假新闻
 The WHO says the coronavirus might be spread by food.		,0,4.4266344e-06,0.0,假新闻
 A video accompanying a claim shows bodies being removed from a hospital in Iran during the novel coronavirus pandemic.		,0,4.3374985e-06,0.0,假新闻
 A monkey is been infected with the coronavirus in this photo.		,0,4.49174e-06,0.0,假新闻
 There is a new case of COVID-19 in Saced¢n (Spain).		,0,4.0631403e-06,0.0,假新闻
 An article in El Pais says there is a case of coronavirus at the School of Architecture of Madrid.		,0,4.291694e-06,0.0,假新闻
 Sevilla's university has suspended classes because of coronavirus on 2/27/20.		,0,4.247961e-06,0.0,假新闻
 Beef meat is the best vaccine against COVID-19.		,0,4.2895826e-06,0.0,假新闻
 It is best to shave your beard to avoid being infected by the coronavirus.		,0,4.124851e-06,0.0,假新闻
 Tips against coronavirus like holding your breath and drinking water.		,0,4.218168e-06,0.0,假新闻
 Authorities should implement temperature tests to travelers from China.		,0,4.3663304e-06,0.0,假新闻
 Video of a person infected with coronavirus being detained by the police.		,0,4.240683e-06,0.0,假新闻
 The coronavirus is more dangerous for animals than for humans.		,0,4.293012e-06,0.0,假新闻
 A video shows people storming an Aldi supermarket to buy groceries because of coronavirus fear.		,0,4.4881776e-06,0.0,假新闻
 Pangolin is the original cause of COVID-19.		,0,4.3596397e-06,0.0,假新闻
 Post says no one has died from the coronavirus in the United States.		,0,4.059263e-06,0.0,假新闻
" The coronavirus is ""simply the common cold.""		",0,4.223611e-06,0.0,假新闻
 Plant-based cure for coronavirus discovered in Iran.		,0,4.1369135e-06,0.0,假新闻
 Journalist claims a coronavirus patient was murdered.		,0,4.0822574e-06,0.0,假新闻
" Post says ""sanitizer will do nothing for the coronavirus.""		",0,4.0708824e-06,0.0,假新闻
" Post says two patients at Valley Regional Medical Center in Brownsville, Texas, ""are being looked at"" for possible coronavirus infections.		",0,4.2047777e-06,0.0,假新闻
 This video shows dead coronavirus victims amassed in the Bergamo (or Brescia) hospital.		,0,4.040042e-06,0.0,假新闻
" Video claims that ""The health system is collapsing"" in North Macedonia.		",0,4.036718e-06,0.0,假新闻
" The coronavirus is a bioweapon by the USA, says German politician Wolfgang Gedeon in a Parliament speech.		",0,4.48019e-06,0.0,假新闻
 Cow dung and cow urine can cure coronavirus.		,0,4.4375947e-06,0.0,假新闻
" ""With regard to the cost, let me be very clear",0,4.152257e-06,0.0,假新闻
 The common cold is the only type of coronavirus.		,0,3.7747232e-06,0.0,假新闻
" ""The Obama administration made a decision on testing that turned out to be very detrimental to what we're doing"" on the coronavirus.		",0,4.155985e-06,0.0,假新闻
" The Obama administration ""didn't do anything about"" swine flu.		",0,3.867637e-06,0.0,假新闻
 Trump's effort to blame Obama for sluggish coronavirus testing.		,0,4.293929e-06,0.0,假新闻
 Medical book states that coronavirus is just a common cold.		,0,3.9508004e-06,0.0,假新闻
 Does France underestimate the outbreak?		,0,4.26549e-06,0.0,假新闻
 There is a connection between 5G and Covid-19.		,0,3.816746e-06,0.0,假新闻
" A post says that there is a movie that predicted the pandemic and it's called ""Coronavirus"".		",0,3.7547861e-06,0.0,假新闻
 Article says that the Vatican confirmed that the Pope and two assistants have coronavirus.		,0,4.1526373e-06,0.0,假新闻
 A patent that is being shared to claim COVID-19 is old.		,0,4.170938e-06,0.0,假新闻
 Vitamin C is a miracle cure for the novel coronavirus.		,0,4.2331353e-06,0.0,假新闻
 Homeopathic product Oscillococcinum protects against COVID-19.		,0,4.4031576e-06,0.0,假新闻
 38 % of Americans won't buy Corona beer due to the coronavirus.		,0,4.1523444e-06,0.0,假新闻
 Holding your breath for 10sec can determine if you have COVID-19 and you should drink water every 15 minutes.		,0,4.2107413e-06,0.0,假新闻
" It is a designed virus ordered to laboratories by Christine Lagarde when she was in the IMF. She said that ""old people live too long and this is a risk for the global economy. We must do something, urgently.""		",0,4.288049e-06,0.0,假新闻
" ""Anybody that wants a test (for the coronavirus) can get a test.""		",0,4.1140393e-06,0.0,假新闻
 5G is accelerating the spread of the new coronavirus.		,0,4.308553e-06,0.0,假新闻
" Danish politician says Greta Thunberg gets special treatment in the European Parliament as she, despite the current outbreak, is allowed to speak.		",0,4.207638e-06,0.0,假新闻
 Hundreds of Italian families are running away from the virus to Africa.		,0,4.1796907e-06,0.0,假新闻
 This laboratory is giving money to people who would agree to be infected with the novel coronavirus.		,0,4.245017e-06,0.0,假新闻
 The headline of a newspaper with a phrase from the Bolivian chancellor about the coronavirus.		,0,4.1783155e-06,0.0,假新闻
 A kit for coronavirus self-diagnosis is available.		,0,4.2958213e-06,0.0,假新闻
 The bill for a coronavirus test in the US is 3.000$.		,0,4.2827933e-06,0.0,假新闻
 Viral claims propagating UNICEF message about coronavirus.		,0,4.290626e-06,0.0,假新闻
" Spanish actress Cristina Pedroche has promised to show a breast if the number of coronavirus infections reaches 1,000 in Spain.		",0,4.313511e-06,0.0,假新闻
 Madrid's government has announced students will have to make-up classes during summer.		,0,4.17442e-06,0.0,假新闻
" Post says ""President Trump has come into contact with a potential coronavirus sufferer!""		",0,4.3291548e-06,0.0,假新闻
" Says 80% of novel coronavirus cases are ""mild.""		",0,4.477259e-06,0.0,假新闻
 A NYC Man With Suspected coronavirus Drops Dead in the Middle of the Street.		,0,4.4992944e-06,0.0,假新闻
