text,true_label,pred_prob,pred_label,pred_cat
 Taking chlorine dioxide helps fight coronavirus.		,0,5.1880643e-06,,不确定
 The Asterix comic books and The Simpsons predicted the coronavirus outbreak.		,0,4.985595e-06,,不确定
 Chinese President Xi Jinping visited a mosque amid the coronavirus outbreak and asked the people of the Muslim community to pray about present crisis.		,0,6.5051418e-06,,不确定
" China seeks court approval to kill over 20,000 coronavirus patients to stop the spread of the outbreak.		",0,5.331216e-06,,不确定
 Coronavirus has been found in broiler chicken.		,0,5.1011284e-06,,不确定
" In a photo of Pakistani Prime Minister Imran Khan and Chinese President Xi Jinping, Imran Khan is wearing a mask.		",0,5.281114e-06,,不确定
 Autopsy reveals a Wuhan doctor was murdered in his sickbed.		,0,5.031113e-06,,不确定
" The new coronavirus ""causes sudden death syndrome.""		",0,5.1596735e-06,,不确定
 A woman infected with the coronavirus was killed by Chinese police.		,0,4.9367013e-06,,不确定
" In 2012, a Facebook user predicted coronavirus from China.		",0,5.1075926e-06,,不确定
 COVID-19 was stolen from Canada by Chinese spies and accidentally released in Wuhan.		,0,6.397056e-06,,不确定
" A child from China has coronavirus in Galicia, Spain.		",0,7.746853e-06,,不确定
 A person with coronavirus is in Andorra on 2/10/20.		,0,4.6039977e-06,,不确定
 Satellite images show high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.		,0,6.0504995e-06,,不确定
 People are lying on the ground in China because they contracted the coronavirus.		,0,4.893512e-06,,不确定
" Coronavirus-infected chicken has been found in Bengaluru, India.		",0,6.950819e-06,,不确定
 People in Wuhan are locked inside their houses by the Chinese government.		,0,5.2727555e-06,,不确定
" The coronavirus epidemic will disappear in April thanks to the heat, as President Donald Trump said.		",0,7.3786773e-06,,不确定
 Police publicly kill a coronavirus-infected woman in China.		,0,5.075235e-06,,不确定
" ""THE CHINESE HAVE BEGUN TO USE THEIR HUMAN CORPSE TO PROCESS INTO PRODUCTS SUCH AS CORNED BEEF TO SHIP TO AFRICA. Please share with your contacts. Very important""		",0,9.680712e-06,,不确定
" China is seeking court's approval to kill 20,000 people positive with coronavirus		",0,4.955825e-06,,不确定
" China seeks court's approval to kill 20,000 coronavirus patients.		",0,4.927304e-06,,不确定
 China orders citizens to abandon/kill their pets as they can transmit coronavirus.		,0,4.6569935e-06,,不确定
 Vitamin C and Omega prevent the new coronavirus.		,0,4.668938e-06,,不确定
 Germans quarantined in La Gomera by the coronavirus leave home isolation without permission.		,0,6.144837e-06,,不确定
" The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.		",0,4.9092127e-06,,不确定
" The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.		",0,4.9092127e-06,,不确定
" Coronavirus cases reported in Rome, Georgia.		",0,5.33644e-06,,不确定
" Silver Solution used on strains of coronavirus ""totally eliminates it. Kills it. Deactivates it.""		",0,5.27346e-06,,不确定
 Bats responsible for the outbreak of coronavirus originated from the rooftop of a house in Wuhan.		,0,5.026307e-06,,不确定
 Satellite images showing high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.		,0,5.614675e-06,,不确定
" The Chinese news website Tencent filters that there are more than 24,000 deaths from coronavirus.		",0,5.6748804e-06,,不确定
 Sulfur dioxide pollution in Wuhan reveals that China is burning bodies of victims.		,0,4.8375255e-06,,不确定
 China orders citizens to abandon/kill their pets as they can transmit coronavirus.		,0,4.6569935e-06,,不确定
 Coronavirus was created in a lab in Wuhan.		,0,5.0638405e-06,,不确定
 People in Wuhan are locked inside their houses trying to escape a building fire.		,0,4.9027285e-06,,不确定
 The WHO declared COVID-19 is the abbreviation for China Outbreak Virus in December 2019.		,0,5.201292e-06,,不确定
 A video shows police killing COVID-19 affected people in China.		,0,4.7287103e-06,,不确定
 Chicken infected from coronavirus found In Bangalore.		,0,6.5867507e-06,,不确定
 Video of police killing COVID-19 affected people in China.		,0,4.774942e-06,,不确定
 A video shows a Chinese epidemiologist saying there are millions of people infected.		,0,4.549431e-06,,不确定
 A residential building was set on fire in Wuhan to control spread of coronavirus.		,0,5.654201e-06,,不确定
 New confirmed cases of COVID-19 in Kolkatta reported by Press Trust of India.		,0,1.3821979e-05,,不确定
" High levels of sulfur dioxide in Wuhan ""may be a sign of mass cremations of victims of the coronavirus.""		",0,5.450318e-06,,不确定
" China has announced the sucess of Egyptian serum form Dr. Hala, Ealth Miniter of Egypt, against coronavirus		",0,4.9936457e-06,,不确定
" China has announced the success of Egyptian serum form Dr. Hala, Health Minister of Egypt, against coronavirus		",0,4.905231e-06,,不确定
 Bus driver in China vomits blood after becoming unconscious behind the wheel.		,0,4.8605552e-06,,不确定
" A video shows a massive explosion in Wuhan, China, to control the spread of coronavirus.		",0,4.9245655e-06,,不确定
" Consuming magnesium chloride, sodium bicarbonate, ginger and lemon juice prevents coronavirus infection.		",0,6.3485695e-06,,不确定
 Latest research by Chinese scientists said coronavirus will render most male patients infertile.		,0,7.1093364e-06,,不确定
 The coronavirus outbreak in Georgia is caused by the EU-Georgia Association Agreement.		,0,5.0280046e-06,,不确定
 Drinking alcohol kills the coronavirus.		,0,4.6248874e-06,,不确定
" Seven children died from coronavirus within one week in Karimganj (Assam, India).		",0,4.953245e-06,,不确定
 Popping bubble wrap exposes people to coronavirus.		,0,4.729649e-06,,不确定
 20 million Chinese people converted to Islam after it was proven that the coronavirus does not affect Muslims.		,0,5.583912e-06,,不确定
 Chinese police kill a woman escaping a COVID-19 quarantine in China.		,0,6.7386177e-06,,不确定
 India has developed a treatment for coronavirus.		,0,5.0430735e-06,,不确定
 Chinese are converting to Islam after realizing that no Muslim was affected by COVID-19 in the country.		,0,5.250972e-06,,不确定
" China seeks court's approval to kill 20,000 coronavirus patients.		",0,4.927304e-06,,不确定
 This coronavirus-infected patient reached to Dr. Vinod Kumar but he wasn't given the treatment. He was later referred to Bhagalpur. It further states that one should avoid meat and fish for 3 months and wear mask to protect yourself from coronavirus.		,0,5.763202e-06,,不确定
 World labs confirm coronavirus was bioengineered.		,0,4.66807e-06,,不确定
 An elderly Chinese couple infected with coronavirus say goodbye while they are in a hospital.		,0,9.139178e-06,,不确定
 Studies show the coronavirus was engineered to be a bioweapon.		,0,4.7625317e-06,,不确定
 Chinese converting to Islam after realizing that no Muslim was affected by COVD19 in the country.		,0,5.1905886e-06,,不确定
 A Chinese man has been lynched because he pretended to have the coronavirus.		,0,8.179994e-06,,不确定
 The drug Arbidol can help fight the new coronavirus.		,0,5.1807024e-06,,不确定
" 20 million Chinese convert to Islam, and coronavirus does not affect Muslims.		",0,5.8968903e-06,,不确定
 The Simpsons predicted the new coronavirus outbreak.		,0,5.434079e-06,,不确定
 Video shows racist reactions toward Asian people.		,0,4.672747e-06,,不确定
" Coronavirus has arrived in Sarajevo, Bosnia and Herzegovina.		",0,5.1237894e-06,,不确定
 Chinese people are fleeing China to Vietnam because of coronavirus.		,0,6.3834177e-06,,不确定
" Six coronavirus cases confirmed in Wichita, Kansas.		",0,7.903849e-06,,不确定
