text,true_label,pred_prob,pred_label,pred_cat
 Tencent revealed the real number of deaths.		,0,0.00047845062,,不确定
 Taking chlorine dioxide helps fight coronavirus.		,0,0.00051397935,,不确定
 The Asterix comic books and The Simpsons predicted the coronavirus outbreak.		,0,0.0004847686,,不确定
 Chinese President Xi Jinping visited a mosque amid the coronavirus outbreak and asked the people of the Muslim community to pray about present crisis.		,0,0.00058888143,,不确定
" China seeks court approval to kill over 20,000 coronavirus patients to stop the spread of the outbreak.		",0,0.00048432357,,不确定
 Coronavirus has been found in broiler chicken.		,0,0.00054217223,,不确定
" In a photo of Pakistani Prime Minister Imran Khan and Chinese President Xi Jinping, Imran Khan is wearing a mask.		",0,0.0005020434,,不确定
 Autopsy reveals a Wuhan doctor was murdered in his sickbed.		,0,0.0005192663,,不确定
" The new coronavirus ""causes sudden death syndrome.""		",0,0.0005567986,,不确定
 A woman infected with the coronavirus was killed by Chinese police.		,0,0.0004914811,,不确定
 Coronavirus is found in broiler chicken.		,0,0.0004795789,,不确定
" In 2012, a Facebook user predicted coronavirus from China.		",0,0.0005090301,,不确定
 COVID-19 was stolen from Canada by Chinese spies and accidentally released in Wuhan.		,0,0.00086952734,,不确定
" A child from China has coronavirus in Galicia, Spain.		",0,0.00046888075,,不确定
 A person with coronavirus is in Andorra on 2/10/20.		,0,0.00054172,,不确定
 Satellite images show high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.		,0,0.0006109508,,不确定
 People are lying on the ground in China because they contracted the coronavirus.		,0,0.0005128972,,不确定
 Cats and dogs can be infected and can contaminate humans with COVID-19.		,0,0.00047634172,,不确定
 Cats and dogs can be infected and can contaminate humans with COVID-19.		,0,0.00047634172,,不确定
" Coronavirus-infected chicken has been found in Bengaluru, India.		",0,0.0005613213,,不确定
" Videos state that 25,000 Chinese are being killed.		",0,0.0004775653,,不确定
 People in Wuhan are locked inside their houses by the Chinese government.		,0,0.000550549,,不确定
" The coronavirus epidemic will disappear in April thanks to the heat, as President Donald Trump said.		",0,0.0006790018,,不确定
 Police publicly kill a coronavirus-infected woman in China.		,0,0.0005053521,,不确定
" ""THE CHINESE HAVE BEGUN TO USE THEIR HUMAN CORPSE TO PROCESS INTO PRODUCTS SUCH AS CORNED BEEF TO SHIP TO AFRICA. Please share with your contacts. Very important""		",0,0.00072676496,,不确定
" China is seeking court's approval to kill 20,000 people positive with coronavirus		",0,0.00050142134,,不确定
" China seeks court's approval to kill 20,000 coronavirus patients.		",0,0.00047075897,,不确定
 Hand sanitizer form 2010 is labeled against COVID-19.		,0,0.0005858572,,不确定
 China orders citizens to abandon/kill their pets as they can transmit coronavirus.		,0,0.00057500426,,不确定
 Vitamin C and Omega prevent the new coronavirus.		,0,0.0005272363,,不确定
 Germans quarantined in La Gomera by the coronavirus leave home isolation without permission.		,0,0.00067385274,,不确定
