text,true_label,pred_prob,pred_label,pred_cat
"U.S. President Donald #Trump suggested he may seek damages from #China over the COVID-19 pandemic, which began in the Chinese city of Wuhan and spread around the world, prompting a furious response from Beijing on Tuesday.
  ",1,0.075311705,1,真新闻
"On Tuesday, 38 people were found positive for COVID-19 and total positive cases till date stand at 691. A total of 423 patients have recovered so far. There are 258 active cases now: Sunil Dohare, Gautam Buddh Nagar District Surveillance Officer 
#Noida  ",1,0.09590335,1,真新闻
"The U.S. Supreme Court refused a Trump administration request to block a ruling requiring prison officials to move more than 800 older or medically vulnerable prisoners from a facility in Ohio that has seen 9 deaths from Covid-19
  ",1,0.10412933,1,真新闻
"Life-saving coronavirus drug hailed by PM
Rashford campaign leads to food voucher U-turn
Report on race and Covid-19 sparks call for action

Get the latest news on the coronavirus outbreak in our evening update

   pic.twitter.com/2YJ3ubliHm",1,0.17049114,1,真新闻
" ""All U.S. citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting 3/17/20.""		",0,0.20015083,1,真新闻
" India Today Ticker that says PM Modi has stated that India has treated 1 crore (10 million) COVID-19 patients for free.		",0,0.26044187,1,真新闻
" India Today Ticker that says PM Modi has stated that India has treated 1 crore (10 million) COVID-19 patients for free.		",0,0.26044187,1,真新闻
The nation-wide #lockdown clamped to check the spread of COVID-19 pandemic has impacted the construction work of the new integrated passenger terminal building at #Tiruchi international airport.  ,1,0.31412753,1,真新闻
" A website claiming that China has confirmed that patient zero had sex with a bat.		",0,0.3296039,1,真新闻
" The U.S. are conducting experiments on Georgian people. Remdesivir (experimental drug to cure COVID-19) is produced by Gilead, the same company which supplied Georgia with Sovaldi, a dangerous drug whih is used in Hepatitis C patients.		",0,0.3699299,1,真新闻
"India Today assesses your covid 'flight risk'.
@PreetiChoudhry
#TTP full show:    pic.twitter.com/H3Dt7GrmaQ",1,0.43738937,1,真新闻
" Marathi newspaper reports a conspiracy theory of coronavirus being a bioweapon.		",0,0.5324295,1,真新闻
"Novartis, U.S. regulators agree to malaria drug trial against COVID-19    pic.twitter.com/JReiTYaA2O",1,0.74538666,1,真新闻
"India, U.S. to collaborate on #COVID-19 vaccine trials', say U.S. health officials   ",1,0.86178493,1,真新闻
"#CoronavirusPandemic | Today, #NewZealand has no active case of Covid-19 while #India is among the top five countries.
(By @PrabhashRinkoo)
  ",1,1.3272581,1,真新闻
" ""Spanish newspaper ABC reports there are two possible COVID-19 cases in Gines and Benecaz¢n (Seville, Spain).		",0,1.8815054,1,真新闻
"India Today reporters, posing as brokers, discovered that the distributors would leave no trail of transactions that could help government authorities trace #Covid suspects and their contacts.
(@mdhizbullah, @milan_reports)  ",1,2.609349,1,真新闻
"The Food Corporation of India (FCI) has supplied around 126 lakh tonnes of food grains, almost equivalent to two-and-a half months' supply in normal situations, to States and Union Territories during COVID-19 lockdown.
#COVID19 #Lockdown #FCI  ",1,8.933241,1,真新闻
"India Today TV has learnt that the European Union-sponsored draft resolution on 'Covid-19 Response' shall be adopted unanimously at the 73rd World Health Assembly.
#World #Covid19 | @Geeta_Mohan  ",1,10.534146,1,真新闻
"UK COVID-19 death toll tops 54,000 including suspected cases - Reuters tally    pic.twitter.com/04OGmf35jS",1,42.630146,1,真新闻
"UK COVID-19 death toll tops 54,000 including suspected cases: Reuters tally    pic.twitter.com/6iFlVVxOO9",1,42.630146,1,真新闻
"#COVID-19 | More than 100,300 people have been infected globally by #coronavirus, according to a Reuters tally based on statements from health ministries and government officials. Click the link below for live updates.  ",1,82.67133,1,真新闻
" A newspaper article stating that the Italian newspaper ""Il Fatto Quotidiano"" illicitly benefited from public fundings linked to COVID-19.		",0,95.49277,1,真新闻
"UK COVID-19 death toll nears 52,000, Reuters tally shows    pic.twitter.com/HbMhwgdaQG",1,96.88953,1,真新闻
India Today Network's CSR outreach program Care Today has been distributing uncooked ration to migrant workers and slum areas during the Covid lockdown. @AneeshaMathur @diwanshu_tomar  ,1,96.932495,1,真新闻
"UK COVID-19 death toll surpasses 50,000 - Reuters tally    pic.twitter.com/KqZciiSNJ9",1,97.88318,1,真新闻
"Reuters recently reported a COVID-19 hack from Vietnam, where an entrepreneur generously dispenses free rice to those who need it through a 'Rice ATM'.
#COVID19 #Lockdown  ",1,99.99157,1,真新闻
"A @Reuters investigation finds that in shielding its hospitals from COVID-19, Britain left many of the weakest exposed    pic.twitter.com/qkc9P2V4To",1,99.99722,1,真新闻
