text,true_label,pred_prob,pred_label
"#Watch | ""There is a long way to go in this battle but we have to win it"": PM Modi

#CoronavirusOutbreak #CoronavirusPandemic #Covid_19 pic.twitter.com/RZGpUfjFM9",1,0.000349485,0
"Watch | ""We want to create a structure where we test most people, treat them according to need and then ensure that we are able to treat, save lives"": CK Mishra, COVID empowered group 

#CoronavirusPandemic pic.twitter.com/IeTOPmWnGE",1,0.000354843,0
This is how the world is celebrating Easter during the covid-19 pandemic  https://wapo.st/2K1Gdhb ,1,0.000357133,0
"Obama says end to Michael Flynn case puts rule of law at risk, calls covid-19 response a ""disaster  https://wapo.st/3fwXv49 ",1,0.000358309,0
"Obama says end to Michael Flynn case puts rule of law at risk, calls covid-19 response a ""disaster  https://wapo.st/3fuigh3 ",1,0.000358309,0
#CoronavirusCrisis | How accurate is #Delhi's COVID death stats? Watch this report by India Today's @Milan_reports. #ITVideo pic.twitter.com/n2JLsw0ZhM,1,0.000358501,0
"""You Know It, I Know It"": Trump Says China COVID-19 Deaths Way Ahead Of US  https://www.ndtv.com/world-news/coronavirus-donald-trump-says-chinas-covid-19-deaths-way-ahead-of-us-you-know-it-i-know-it-2214290  #NDTVNewsBeeps #COVID19Pandemic pic.twitter.com/Cgzd7fwky0",1,0.000360629,0
" 37.000 US soldiers are entering the EU while everybody is busy with the coronavirus; the soldiers are immune.		",0,0.000361914,0
" This is a picture of the old city in Hyderabad (India) today despite the lockdown.		",0,0.000361977,0
"US-Based Consulting Firm's ""Mystery"" Role In India's War Against COVID-19  https://www.ndtv.com/india-news/coronavirus-us-based-boston-consulting-groups-mystery-role-in-indias-war-against-covid-19-2236545  #NDTVNewsBeeps pic.twitter.com/DUvFEblBP7",1,0.0003633,0
"Can a cough reveal a #covid infection? Watch this report to know!
(@ShivAroor)
#RE pic.twitter.com/NzclkukIjl",1,0.000365308,0
" The Spanish Government asks Congress to renew the state of alarm every 15 days because it is required by law.		",0,0.000366063,0
" This is the calendar for the end of the lockdown in Spain.		",0,0.000366152,0
"2 more weeks of #COVID__19 #lockdown, PM Modi and states agree in meeting  https://www.ndtv.com/india-news/pm-modi-agrees-with-states-that-lockdown-should-be-extended-till-april-30-2210069  pic.twitter.com/8mbbneSHwX",1,0.000368479,0
" The Spanish government stopped counting the dead from COVID-19 between March 6 and 9.		",0,0.0003701,0
" This is a self-check test for coronavirus.		",0,0.0003705,0
"Today, India is among those countries in the world where the deaths due to COVID-19 are very less: PM Narendra Modi
#ITVideo pic.twitter.com/jT4Z8tOJd1",1,0.000370753,0
" This old poem, writen during XIXth century, prove that the history of pandemia repeats itself among centuries.		",0,0.000371481,0
Perspective: What we can learn about this covid-19 time from a non-speaking autistic teen  https://wapo.st/2X4njh9 ,1,0.000371517,0
" There is a Russian medicine that could be use against Sars-Cov-2.		",0,0.00037258,0
" WHO announced that there would be no concerts before the fall of 2021.		",0,0.000373813,0
" A video by a Russia blogger who claims that a Spanish hospital he is recording, is empty and that the information on the spread of the coronavirus is exaggerated.		",0,0.000373825,0
" This video of the French education minister answering a TV interview from its water closet is authentic.		",0,0.000374182,0
